Date,country,Year,total_ghg,ghg_per_capita,co2,co2_growth_prct,co2_growth_abs,co2_per_capita,co2_per_gdp,co2_per_unit_energy,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp,Day,Month
1750-01-01,World,1750,,,9.351,,,0.012,,,,,,,811562143.0,,,,,01,01
1751-01-01,World,1751,,,9.351,0.0,0.0,,,,,,,,,,,,,01,01
1752-01-01,World,1752,,,9.354,0.04,0.004,,,,,,,,,,,,,01,01
1753-01-01,World,1753,,,9.354,0.0,0.0,,,,,,,,,,,,,01,01
1754-01-01,World,1754,,,9.357999999999999,0.04,0.004,,,,,,,,,,,,,01,01
1755-01-01,World,1755,,,9.362,0.04,0.004,,,,,,,,,,,,,01,01
1756-01-01,World,1756,,,10.006,6.89,0.645,,,,,,,,,,,,,01,01
1757-01-01,World,1757,,,10.01,0.04,0.004,,,,,,,,,,,,,01,01
1758-01-01,World,1758,,,10.014,0.04,0.004,,,,,,,,,,,,,01,01
1759-01-01,World,1759,,,10.017000000000001,0.04,0.004,,,,,,,,,,,,,01,01
1760-01-01,World,1760,,,10.017000000000001,0.0,0.0,,,,,,,,,,,,,01,01
1761-01-01,World,1761,,,10.974,9.55,0.956,,,,,,,,,,,,,01,01
1762-01-01,World,1762,,,10.977,0.03,0.004,,,,,,,,,,,,,01,01
1763-01-01,World,1763,,,10.981,0.03,0.004,,,,,,,,,,,,,01,01
1764-01-01,World,1764,,,10.985,0.03,0.004,,,,,,,,,,,,,01,01
1765-01-01,World,1765,,,10.988,0.03,0.004,,,,,,,,,,,,,01,01
1766-01-01,World,1766,,,12.26,11.57,1.271,,,,,,,,,,,,,01,01
1767-01-01,World,1767,,,12.263,0.03,0.004,,,,,,,,,,,,,01,01
1768-01-01,World,1768,,,12.267000000000001,0.03,0.004,,,,,,,,,,,,,01,01
1769-01-01,World,1769,,,12.270999999999999,0.03,0.004,,,,,,,,,,,,,01,01
1770-01-01,World,1770,,,12.274000000000001,0.03,0.004,,,,,,,,,,,,,01,01
1771-01-01,World,1771,,,13.612,10.9,1.337,,,,,,,,,,,,,01,01
1772-01-01,World,1772,,,13.615,0.03,0.004,,,,,,,,,,,,,01,01
1773-01-01,World,1773,,,13.619000000000002,0.03,0.004,,,,,,,,,,,,,01,01
1774-01-01,World,1774,,,13.623,0.03,0.004,,,,,,,,,,,,,01,01
1775-01-01,World,1775,,,13.626,0.03,0.004,,,,,,,,,,,,,01,01
1776-01-01,World,1776,,,15.037,10.35,1.411,,,,,,,,,,,,,01,01
1777-01-01,World,1777,,,15.040999999999999,0.02,0.004,,,,,,,,,,,,,01,01
1778-01-01,World,1778,,,15.044,0.02,0.004,,,,,,,,,,,,,01,01
1779-01-01,World,1779,,,15.048,0.02,0.004,,,,,,,,,,,,,01,01
1780-01-01,World,1780,,,15.055,0.05,0.006999999999999999,,,,,,,,,,,,,01,01
1781-01-01,World,1781,,,16.843,11.88,1.788,,,,,,,,,,,,,01,01
1782-01-01,World,1782,,,16.847,0.02,0.004,,,,,,,,,,,,,01,01
1783-01-01,World,1783,,,16.854,0.04,0.006999999999999999,,,,,,,,,,,,,01,01
1784-01-01,World,1784,,,16.858,0.02,0.004,,,,,,,,,,,,,01,01
1785-01-01,World,1785,,,16.869,0.07,0.011000000000000001,,,,,,,,,,,,,01,01
1786-01-01,World,1786,,,19.152,13.53,2.283,,,,,,,,,,,,,01,01
1787-01-01,World,1787,,,19.159000000000002,0.04,0.006999999999999999,,,,,,,,,,,,,01,01
1788-01-01,World,1788,,,19.163,0.02,0.004,,,,,,,,,,,,,01,01
1789-01-01,World,1789,,,19.17,0.04,0.006999999999999999,,,,,,,,,,,,,01,01
1790-01-01,World,1790,,,19.177,0.04,0.006999999999999999,,,,,,,,,,,,,01,01
1791-01-01,World,1791,,,21.42,11.69,2.242,,,,,,,,,,,,,01,01
1792-01-01,World,1792,,,21.896,2.22,0.47600000000000003,,,,,,,,,,,,,01,01
1793-01-01,World,1793,,,21.914,0.08,0.018000000000000002,,,,,,,,,,,,,01,01
1794-01-01,World,1794,,,21.881,-0.15,-0.033,,,,,,,,,,,,,01,01
1795-01-01,World,1795,,,21.892,0.05,0.011000000000000001,,,,,,,,,,,,,01,01
1796-01-01,World,1796,,,22.951,4.84,1.0590000000000002,,,,,,,,,,,,,01,01
1797-01-01,World,1797,,,24.094,4.98,1.143,,,,,,,,,,,,,01,01
1798-01-01,World,1798,,,25.095,4.15,1.0,,,,,,,,,,,,,01,01
1799-01-01,World,1799,,,26.428,5.31,1.334,,,,,,,,,,,,,01,01
1800-01-01,World,1800,,,28.092,6.29,1.663,0.027999999999999997,,,,,,,985083735.0,,,,,01,01
1801-01-01,World,1801,,,27.96,-0.47,-0.132,0.027999999999999997,,,,,,,988518009.0,,,,,01,01
1802-01-01,World,1802,,,36.783,31.56,8.823,0.037000000000000005,,,,,,,991993182.0,,,,,01,01
1803-01-01,World,1803,,,31.488000000000003,-14.39,-5.294,0.032,,,,,,,995509576.0,,,,,01,01
1804-01-01,World,1804,,,34.31,8.96,2.821,0.034,,,,,,,999067550.0,,,,,01,01
1805-01-01,World,1805,,,33.419000000000004,-2.6,-0.89,0.033,,,,,,,1002667483.0,,,,,01,01
1806-01-01,World,1806,,,35.046,4.87,1.6269999999999998,0.035,,,,,,,1006309768.0,,,,,01,01
1807-01-01,World,1807,,,36.874,5.22,1.828,0.036000000000000004,,,,,,,1009994839.0,,,,,01,01
1808-01-01,World,1808,,,35.064,-4.91,-1.81,0.035,,,,,,,1013723142.0,,,,,01,01
1809-01-01,World,1809,,,35.09,0.07,0.026000000000000002,0.034,,,,,,,1017495164.0,,,,,01,01
1810-01-01,World,1810,,,37.38,6.53,2.29,0.036000000000000004,,,,,,,1022935503.0,,,,,01,01
1811-01-01,World,1811,,,39.582,5.89,2.202,0.038,,,,,,,1028432388.0,,,,,01,01
1812-01-01,World,1812,,,41.007,3.6,1.425,0.04,,,,,,,1034582343.0,,,,,01,01
1813-01-01,World,1813,,,41.22,0.52,0.213,0.04,,,,,,,1041401489.0,,,,,01,01
1814-01-01,World,1814,,,42.129,2.2,0.909,0.04,,,,,,,1048392002.0,,,,,01,01
1815-01-01,World,1815,,,43.488,3.23,1.359,0.040999999999999995,,,,,,,1055558056.0,,,,,01,01
1816-01-01,World,1816,,,47.665,9.6,4.177,0.045,,,,,,,1062904018.0,,,,,01,01
1817-01-01,World,1817,,,49.431000000000004,3.71,1.766,0.046,,,,,,,1070434459.0,,,,,01,01
1818-01-01,World,1818,,,49.644,0.43,0.213,0.046,,,,,,,1078154164.0,,,,,01,01
1819-01-01,World,1819,,,49.948,0.61,0.304,0.046,,,,,,,1085762043.0,,,,,01,01
1820-01-01,World,1820,,,50.688,1.48,0.74,0.046,0.044000000000000004,,,,,,1093244955.0,1138509760874.57,,,,01,01
1821-01-01,World,1821,,,51.435,1.47,0.747,0.047,,,,,,,1100353908.0,,,,,01,01
1822-01-01,World,1822,,,53.465,3.95,2.03,0.048,,,,,,,1107285721.0,,,,,01,01
1823-01-01,World,1823,,,56.55,5.77,3.085,0.051,,,,,,,1114556675.0,,,,,01,01
1824-01-01,World,1824,,,58.525,3.49,1.975,0.052000000000000005,,,,,,,1121928309.0,,,,,01,01
1825-01-01,World,1825,,,60.756,3.81,2.231,0.054000000000000006,,,,,,,1129402060.0,,,,,01,01
1826-01-01,World,1826,,,61.42,1.09,0.6629999999999999,0.054000000000000006,,,,,,,1136978934.0,,,,,01,01
1827-01-01,World,1827,,,65.915,7.32,4.496,0.057999999999999996,,,,,,,1144660456.0,,,,,01,01
1828-01-01,World,1828,,,66.637,1.1,0.722,0.057999999999999996,,,,,,,1152448156.0,,,,,01,01
1829-01-01,World,1829,,,66.395,-0.36,-0.242,0.057,,,,,,,1159787562.0,,,,,01,01
1830-01-01,World,1830,,,89.12299999999999,34.23,22.728,0.076,,,,,,,1166675351.0,,,,,01,01
1831-01-01,World,1831,,,84.52799999999999,-5.16,-4.595,0.07200000000000001,,,,,,,1173107948.0,,,,,01,01
1832-01-01,World,1832,,,85.111,0.69,0.583,0.07200000000000001,,,,,,,1179053710.0,,,,,01,01
1833-01-01,World,1833,,,86.807,1.99,1.696,0.073,,,,,,,1184508718.0,,,,,01,01
1834-01-01,World,1834,,,88.486,1.93,1.6780000000000002,0.07400000000000001,,,,,,,1190024997.0,,,,,01,01
1835-01-01,World,1835,,,90.446,2.22,1.96,0.076,,,,,,,1195603662.0,,,,,01,01
1836-01-01,World,1836,,,104.77600000000001,15.84,14.33,0.087,,,,,,,1201245854.0,,,,,01,01
1837-01-01,World,1837,,,104.691,-0.08,-0.084,0.087,,,,,,,1206952746.0,,,,,01,01
1838-01-01,World,1838,,,108.044,3.2,3.353,0.08900000000000001,,,,,,,1212725543.0,,,,,01,01
1839-01-01,World,1839,,,111.613,3.3,3.569,0.092,,,,,,,1218426772.0,,,,,01,01
1840-01-01,World,1840,,,118.93,6.56,7.317,0.09699999999999999,,,,,,,1224058418.0,,,,,01,01
1841-01-01,World,1841,,,122.619,3.1,3.69,0.1,,,,,,,1229625751.0,,,,,01,01
1842-01-01,World,1842,,,129.504,5.61,6.885,0.105,,,,,,,1235130935.0,,,,,01,01
1843-01-01,World,1843,,,132.85299999999998,2.59,3.3489999999999998,0.107,,,,,,,1240576195.0,,,,,01,01
1844-01-01,World,1844,,,141.423,6.45,8.57,0.114,,,,,,,1246102552.0,,,,,01,01
1845-01-01,World,1845,,,155.211,9.75,13.788,0.124,,,,,,,1251711693.0,,,,,01,01
1846-01-01,World,1846,,,157.79399999999998,1.66,2.583,0.126,,,,,,,1257405291.0,,,,,01,01
1847-01-01,World,1847,,,172.40200000000002,9.26,14.607999999999999,0.136,,,,,,,1263185490.0,,,,,01,01
1848-01-01,World,1848,,,173.81599999999997,0.82,1.4140000000000001,0.13699999999999998,,,,,,,1269054017.0,,,,,01,01
1849-01-01,World,1849,,,183.511,5.58,9.695,0.14400000000000002,,,,,,,1274142450.0,,,,,01,01
1850-01-01,World,1850,,,196.896,7.29,13.385,0.154,0.136,,,,,,1278456221.0,1446494868899.08,,,,01,01
1851-01-01,World,1851,,,198.805,0.97,1.909,0.155,,,,,,,1281762948.0,,,,,01,01
1852-01-01,World,1852,,,207.551,4.4,8.746,0.162,,,,,,,1284301245.0,,,,,01,01
1853-01-01,World,1853,,,217.209,4.65,9.658,0.16899999999999998,,,,,,,1286078570.0,,,,,01,01
1854-01-01,World,1854,,,255.139,17.46,37.93,0.198,,,,,,,1287967885.0,,,,,01,01
1855-01-01,World,1855,,,260.166,1.97,5.027,0.20199999999999999,,,,,,,1289970666.0,,,,,01,01
1856-01-01,World,1856,,,277.29200000000003,6.58,17.125999999999998,0.215,,,,,,,1292088418.0,,,,,01,01
1857-01-01,World,1857,,,279.889,0.94,2.5980000000000003,0.21600000000000003,,,,,,,1294322726.0,,,,,01,01
1858-01-01,World,1858,,,284.172,1.53,4.283,0.21899999999999997,,,,,,,1296675259.0,,,,,01,01
1859-01-01,World,1859,,,301.313,6.03,17.141,0.23199999999999998,,,,,,,1299404290.0,,,,,01,01
1860-01-01,World,1860,,,330.642,9.73,29.33,0.254,,,,,,,1302503129.0,,,,,01,01
1861-01-01,World,1861,,,347.735,5.17,17.093,0.266,,,,,,,1305974308.0,,,,,01,01
1862-01-01,World,1862,,,354.05800000000005,1.82,6.322,0.27,,,,,,,1309810072.0,,,,,01,01
1863-01-01,World,1863,,,377.86,6.72,23.803,0.28800000000000003,,,,,,,1313998606.0,,,,,01,01
1864-01-01,World,1864,,,407.091,7.74,29.230999999999998,0.309,,,,,,,1318272062.0,,,,,01,01
1865-01-01,World,1865,,,432.30800000000005,6.19,25.217,0.327,,,,,,,1322623765.0,,,,,01,01
1866-01-01,World,1866,,,445.971,3.16,13.663,0.336,,,,,,,1327053121.0,,,,,01,01
1867-01-01,World,1867,,,477.815,7.14,31.844,0.359,,,,,,,1331567959.0,,,,,01,01
1868-01-01,World,1868,,,490.75199999999995,2.71,12.937999999999999,0.36700000000000005,,,,,,,1336166857.0,,,,,01,01
1869-01-01,World,1869,,,521.131,6.19,30.378,0.38799999999999996,,,,,,,1341352466.0,,,,,01,01
1870-01-01,World,1870,,,532.5369999999999,2.19,11.405999999999999,0.395,0.28,,,,,,1347138506.0,1900424264013.27,,,,01,01
1871-01-01,World,1871,,,566.143,6.31,33.606,0.418,,,,,,,1353443252.0,,,,,01,01
1872-01-01,World,1872,,,626.372,10.64,60.229,0.46,,,,,,,1360424380.0,,,,,01,01
1873-01-01,World,1873,,,665.419,6.23,39.047,0.486,,,,,,,1367988390.0,,,,,01,01
1874-01-01,World,1874,,,622.997,-6.38,-42.422,0.45299999999999996,,,,,,,1375627633.0,,,,,01,01
1875-01-01,World,1875,,,675.799,8.48,52.802,0.488,,,,,,,1383370937.0,,,,,01,01
1876-01-01,World,1876,,,685.553,1.44,9.754,0.493,,,,,,,1391198002.0,,,,,01,01
1877-01-01,World,1877,,,699.0989999999999,1.98,13.546,0.5,,,,,,,1399078506.0,,,,,01,01
1878-01-01,World,1878,,,704.383,0.76,5.284,0.501,,,,,,,1407029656.0,,,,,01,01
1879-01-01,World,1879,,,754.87,7.17,50.488,0.5329999999999999,,,,,,,1415517728.0,,,,,01,01
1880-01-01,World,1880,,,853.7080000000001,13.09,98.838,0.599,,,,,,,1424583354.0,,,,,01,01
1881-01-01,World,1881,,,882.408,3.36,28.7,0.615,,,,,,,1434249126.0,,,,,01,01
1882-01-01,World,1882,,,931.925,5.61,49.516999999999996,0.645,,,,,,,1444517890.0,,,,,01,01
1883-01-01,World,1883,,,991.0360000000001,6.34,59.111000000000004,0.6809999999999999,,,,,,,1455383028.0,,,,,01,01
1884-01-01,World,1884,,,1002.179,1.12,11.142000000000001,0.6829999999999999,,,,,,,1466386014.0,,,,,01,01
1885-01-01,World,1885,,,1009.675,0.75,7.497000000000001,0.6829999999999999,,,,,,,1477585273.0,,,,,01,01
1886-01-01,World,1886,,,1025.48,1.57,15.804,0.6890000000000001,,,,,,,1488898435.0,,,,,01,01
1887-01-01,World,1887,,,1076.762,5.0,51.283,0.718,,,,,,,1500375019.0,,,,,01,01
1888-01-01,World,1888,,,1192.277,10.73,115.515,0.7879999999999999,,,,,,,1511987755.0,,,,,01,01
1889-01-01,World,1889,,,1191.805,-0.04,-0.47100000000000003,0.782,,,,,,,1523377738.0,,,,,01,01
1890-01-01,World,1890,,,1298.465,8.95,106.65899999999999,0.846,,,,,,,1534560470.0,,,,,01,01
1891-01-01,World,1891,,,1358.881,4.65,60.416000000000004,0.879,,,,,,,1545484918.0,,,,,01,01
1892-01-01,World,1892,,,1370.085,0.82,11.204,0.88,,,,,,,1556164671.0,,,,,01,01
1893-01-01,World,1893,,,1353.6760000000002,-1.2,-16.408,0.8640000000000001,,,,,,,1566603175.0,,,,,01,01
1894-01-01,World,1894,,,1400.866,3.49,47.19,0.888,,,,,,,1577186563.0,,,,,01,01
1895-01-01,World,1895,,,1485.283,6.03,84.417,0.935,,,,,,,1587928254.0,,,,,01,01
1896-01-01,World,1896,,,1533.713,3.26,48.43,0.9590000000000001,,,,,,,1598762981.0,,,,,01,01
1897-01-01,World,1897,,,1606.3129999999999,4.73,72.6,0.998,,,,,,,1609751325.0,,,,,01,01
1898-01-01,World,1898,,,1694.28,5.48,87.96700000000001,1.045,,,,,,,1620871535.0,,,,,01,01
1899-01-01,World,1899,,,1850.9089999999999,9.24,156.629,1.1340000000000001,,,,,,,1632662301.0,,,,,01,01
1900-01-01,World,1900,,,1953.614,5.55,102.705,1.188,0.574,,,,,,1645092253.0,3405759219906.19,,,,01,01
1901-01-01,World,1901,,,2018.421,3.32,64.806,1.217,,,,,,,1658157011.0,,,,,01,01
1902-01-01,World,1902,,,2069.946,2.55,51.526,1.238,,,,,,,1671888746.0,,,,,01,01
1903-01-01,World,1903,,,2258.613,9.11,188.667,1.339,,,,,,,1686282539.0,,,,,01,01
1904-01-01,World,1904,,,2282.759,1.07,24.146,1.3419999999999999,,,,,,,1700861629.0,,,,,01,01
1905-01-01,World,1905,,,2431.145,6.5,148.385,1.4169999999999998,,,,,,,1715630837.0,,,,,01,01
1906-01-01,World,1906,,,2554.215,5.06,123.071,1.476,,,,,,,1730596830.0,,,,,01,01
1907-01-01,World,1907,,,2887.833,13.06,333.61699999999996,1.6540000000000001,,,,,,,1745780809.0,,,,,01,01
1908-01-01,World,1908,,,2779.288,-3.76,-108.545,1.578,,,,,,,1761186754.0,,,,,01,01
1909-01-01,World,1909,,,2890.6540000000005,4.01,111.366,1.6280000000000001,,,,,,,1776007167.0,,,,,01,01
1910-01-01,World,1910,,,3032.156,4.9,141.502,1.694,,,,,,,1790237867.0,,,,,01,01
